brand,model,price,fuel,transmission,km,year,location
Renault,Megane 1.5 DCI 110 ENERGY BOSE 110 5P,14500.0,Diésel,Manual,30926.0,2017,Alava
Volkswagen,Tiguan Sport R-Line 2.0 TDI DSG7 4Motion 190CV,42490.0,Diésel,Automático,11855.0,2020,Madrid
Hyundai,i30 1.6 CRDI 81KW TECNO 5P,16300.0,Diésel,Manual,9000.0,2018,Barcelona
Nissan,X-Trail 1.3 DIG-T ACENTA DCT 120KW 7 SEAT 160 5P 7 Plazas,22400.0,Gasolina,Automático,7253.0,2020,Alava
Cupra,Leon Sportstourer cupra,36900.0,Híbrido,Automático,8.0,2020,Soria
Ford, STLine X 2.5 Duratec PHEV 165kW Auto,32990.0,Híbrido,Automático,13200.0,2020,Valencia
Seat, 1.6 TDI 85KW S,17200.0,Diésel,Manual,11471.0,2019,Barcelona
Renault,Clio TCE 100CV INTENS,14000.0,Gasolina,Manual,3082.0,2020,Burgos
Nissan,Qashqai 1.3 DIG-T N-CONNECTA 103KW 5P,22500.0,Gasolina,Manual,6605.0,2019,Burgos
Renault,Clio 1.0 TCe GPF 100cv  Intens,12900.0,Gasolina,Manual,4288.0,2020,Vizcaya
Dacia,Duster 1.3 TCE 96KW PRESTIGE 130 5P,16500.0,Gasolina,Manual,3000.0,2020,Alava
Nissan,X-Trail 1.7 DCI TEKNA 110KW 150 5P,29990.0,Diésel,Manual,5.0,2021,Alava
Renault,Master Furgón T L2H2 3300 Bl dCi 100kW (135CV),18900.0,Diésel,Manual,49500.0,2019,Zamora
Renault,Clio 1.0 TCe GPF 100cv Zen,16650.0,Gasolina,Manual,9000.0,2020,Zamora
Volkswagen,Tiguan Sport R-Line 2.0 TDI DSG7 150CV,37890.0,Diésel,Automático,4700.0,2020,Madrid
Renault,Megane 1.5 DCI 110 ENERGY BOSE 110 5P,14500.0,Diésel,Manual,30926.0,2017,Alava
Volkswagen,Tiguan Sport R-Line 2.0 TDI DSG7 4Motion 190CV,42490.0,Diésel,Automático,11855.0,2020,Madrid
Hyundai,i30 1.6 CRDI 81KW TECNO 5P,16300.0,Diésel,Manual,9000.0,2018,Barcelona
Nissan,X-Trail 1.3 DIG-T ACENTA DCT 120KW 7 SEAT 160 5P 7 Plazas,22400.0,Gasolina,Automático,7253.0,2020,Alava
Cupra,Leon Sportstourer cupra,36900.0,Híbrido,Automático,8.0,2020,Soria
Ford, STLine X 2.5 Duratec PHEV 165kW Auto,32990.0,Híbrido,Automático,13200.0,2020,Valencia
Seat, 1.6 TDI 85KW S,17200.0,Diésel,Manual,11471.0,2019,Barcelona
Renault,Clio TCE 100CV INTENS,14000.0,Gasolina,Manual,3082.0,2020,Burgos
Nissan,Qashqai 1.3 DIG-T N-CONNECTA 103KW 5P,22500.0,Gasolina,Manual,6605.0,2019,Burgos
Renault,Clio 1.0 TCe GPF 100cv  Intens,12900.0,Gasolina,Manual,4288.0,2020,Vizcaya
Dacia,Duster 1.3 TCE 96KW PRESTIGE 130 5P,16500.0,Gasolina,Manual,3000.0,2020,Alava
Nissan,X-Trail 1.7 DCI TEKNA 110KW 150 5P,29990.0,Diésel,Manual,5.0,2021,Alava
Renault,Master Furgón T L2H2 3300 Bl dCi 100kW (135CV),18900.0,Diésel,Manual,49500.0,2019,Zamora
Renault,Clio 1.0 TCe GPF 100cv Zen,16650.0,Gasolina,Manual,9000.0,2020,Zamora
Volkswagen,Tiguan Sport R-Line 2.0 TDI DSG7 150CV,37890.0,Diésel,Automático,4700.0,2020,Madrid
Land Rover,Range Rover Sport 3.0 TDV6 HSE AUTO 4WD 258 5P,53900.0,Diésel,Automático,39189.0,2018,Córdoba
Land Rover,Range Rover Sport 3.0 TDV6 HSE AUTO 4WD 258 5P,36000.0,Diésel,Automático,186594.0,2017,Cádiz
Volkswagen,Tiguan Sport R-Line 2.0 TDI DSG7 150CV,36890.0,Diésel,Automático,3500.0,2020,Madrid
BMW,318 Berlina d,30900.0,Diésel,Automático,27539.0,2019,Murcia
Volvo,V90 V90 Cross Country Pro D4 AWD Automático,44900.0,Diésel,Automático,8690.0,2020,Vizcaya
Volvo,XC40 XC40 D3 Business Plus Manual,32500.0,Diésel,Manual,1.0,2020,Vizcaya
Volvo,XC60 XC60 B4(D) Momenutm Pro Automático,41900.0,Diésel,Automático,1.0,2020,Vizcaya
Volvo,XC60 XC60 B4(D) Inscription Automático,46500.0,Diésel,Automático,1.0,2020,Vizcaya
Volvo,XC40 XC40 D3 Business Plus Automático,35900.0,Diésel,Automático,12.0,2020,Vizcaya
Peugeot,3008 1.5BlueHDi GT Line S&S EAT8 130 GT Line,28900.0,Diésel,Automático,11239.0,2019,Murcia
Seat,Ibiza 1.0 75 STYLE 5P-**,9990.0,Gasolina,Manual,34037.0,2018,Barcelona
Kia,Ceed 1.4 CVVT 100 DRIVE 5P,14750.0,Gasolina,Manual,18149.0,2019,Barcelona
Opel,Mokka X 1.4 T 140 SELECTIVE 2WD S-,13850.0,Gasolina,Manual,44380.0,2018,Barcelona
Seat, NUEVO LEON 1.5 TSI MHEV 110 KW (150 CV) DSG S/S FR LAUNCH PAKC L,26790.0,Gasolina,Automático,10.0,2021,Barcelona
Seat, NUEVO LEON 2.0 TDI CR 85 KW (115 CV) S/S STYLE,23000.0,Diésel,Manual,10.0,2021,Barcelona
Kia,Sportage 1.7 CRDI VGT X-TECH18 2WD ECO-DYNAMICS 5P,16990.0,Diésel,Manual,83673.0,2018,Barcelona
Seat, NUEVO LEON 2.0 TDI CR 110 KW (150 CV) DSG S/S FR LAUNCH PACK 'L',28200.0,Diésel,Automático,10.0,2021,Barcelona
Nissan,Qashqai 1.2DIG-T 115CV 2WD MT N-CONNECTA TECHO + BARRAS RUEDA REPUESTO,17900.0,Gasolina,Manual,21150.0,2018,Barcelona
Citroen,C3 Aircross 1.6 BLUEHDI 100 FEEL 5P,14500.0,Diésel,Manual,27055.0,2018,Barcelona
Citroen, 1.2 PURETECH 82 SHINE 5P-,12750.0,Gasolina,Manual,13429.0,2019,Barcelona
Seat, 1.6 TDI 115 S/S REFERENCE PLUS ST 5P-,12900.0,Diésel,Manual,79406.0,2017,Barcelona
Volkswagen,Polo 2.0 TSI 200 GTI 5P-,24990.0,Gasolina,Manual,22615.0,2019,Barcelona
Opel, 1.4 COLOR EDITION 90 5P,9990.0,Gasolina,Manual,50791.0,2018,Barcelona
Opel, 1.4 COLOR EDITION 90 5P,9990.0,Gasolina,Manual,48594.0,2018,Barcelona
Opel, 1.4 COLOR EDITION 90 5P,9990.0,Gasolina,Manual,52238.0,2018,Barcelona
Seat, 2.0 TSI 290 S&S CUPRA DCT 5P-,28990.0,Gasolina,Automático,20315.0,2019,Barcelona
MINI,Cooper 1.5 COOPER 5P,17990.0,Gasolina,Manual,42512.0,2018,Barcelona
Kia,Sportage 1.6 MHEV 136 DRIVE 2WD 5P,23900.0,Eléctrico,Manual,13458.0,2020,Barcelona
Seat, NUEVO LEON ST 1.5 ETSI 110W (150CV) S/S FR DSG SP 5P (TECHO PANORAMICO),26500.0,Gasolina,Automático,10.0,2020,Barcelona
Audi,A3 1.6 TDI DESIGN EDITION SPORTBACK 5P,16950.0,Diésel,Manual,59133.0,2017,Barcelona
Citroen,C4 1.6 BLUEHDI 100 LIVE EDITION 5P-,11500.0,Diésel,Manual,54167.0,2017,Barcelona
Seat, 1.5 TSI 150 S/S FR EDITION 5P-,17500.0,Gasolina,Manual,19196.0,2019,Barcelona
Nissan,Juke 1.5 DCI 81KW N-CONNECTA 5P *,14900.0,Diésel,Manual,24000.0,2019,Barcelona
Kia,Sportage 1.6 MHEV 136 DRIVE 2WD 5P,23900.0,Diésel,Manual,5896.0,2020,Barcelona
Kia,Sportage 1.6 MHEV 136 DRIVE 2WD 5P,23900.0,Diésel,Manual,7489.0,2020,Barcelona
Kia,Sportage 1.6 MHEV 136CV DRIVE 2WD 5P,23900.0,Diésel,Manual,14887.0,2020,Barcelona
Kia,Niro 1.6 GDI HIBRID DRIVE 5P,16990.0,Gasolina,Automático,42695.0,2017,Barcelona
Kia,Sportage 1.7 CRDI VGT X-TECH 2WD ECO-DYNAMICS 5P,16500.0,Diésel,Manual,31189.0,2017,Barcelona
Kia,Ceed NEW CEED 1.4 T-GDI 1410 TECH 5P,17490.0,Gasolina,Manual,18000.0,2018,Barcelona
Kia,Carens 1.7 CRDI VGT 115CV DRIVE ECO-DYNAMICS 5P,12990.0,Diésel,Manual,83000.0,2017,Barcelona
Seat, NUEVO LEON 2.0 TDI CR 110 KW (150 CV) DSG S/S FR,29700.0,Diésel,Automático,10.0,2021,Barcelona
Seat, NUEVO LEON 2.0 TDI CR 110 KW (150 CV) DSG S/S FR,29490.0,Diésel,Automático,10.0,2021,Barcelona
Seat, NUEVO LEON SPORTSTOURER 1.5 TSI 110 KW (150 CV) S/S FR,26400.0,Gasolina,Manual,10.0,2021,Barcelona
Peugeot, 1.2 PURETECH 82 STYLE 5P,11990.0,Gasolina,Manual,47448.0,2018,Barcelona
Peugeot, 1.2 PURETECH 82 STYLE 5P,11990.0,Gasolina,Manual,53074.0,2018,Barcelona
Seat, NUEVO LEON SPORTSTOURER 1.5 ETSI 110KW (150CV) DSG ST&SP FR,28700.0,Gasolina,Automático,10.0,2021,Barcelona
Seat, NUEVO LEON SPORTSTOURER 1.5 ETSI 110KW (150CV) DSG ST&SP FR,28200.0,Gasolina,Automático,10.0,2021,Barcelona
Seat, NUEVO LEON 1.5 ETSI 110 KW (150 CV) DSG S/S FR GO 'L',27670.0,Gasolina,Automático,10.0,2021,Barcelona
Nissan,Juke 1.0 DIG-T 86KW ACENTA 5P,18900.0,Gasolina,Manual,2300.0,2020,Barcelona
Citroen,C5 1.2 PURETECH 130 S&S FEEL 5P,21500.0,Gasolina,Manual,5900.0,2019,Barcelona
Peugeot,Rifter 1.5 BLUEHDI 100 ACTIVE STANDARD 5P,20500.0,Diésel,Manual,3476.0,2020,Barcelona
Peugeot,Rifter 1.5 BLUEHDI 100 ACTIVE STANDARD 5P,20500.0,Diésel,Manual,8358.0,2020,Barcelona
Seat, NUEVO LEON 1.0 ETSI 81 KW (110 CV) DSG S/S STYLE,23550.0,Gasolina,Automático,10.0,2021,Barcelona
Seat, NUEVO LEON 1.0 ETSI 81 KW (110 CV) DSG S/S STYLE,23790.0,Gasolina,Automático,10.0,2021,Barcelona
Seat, NUEVO LEON 1.0 ETSI 81 KW (110 CV) DSG S/S STYLE,23775.0,Gasolina,Automático,10.0,2021,Barcelona
Seat, NUEVO LEON SPORTSTOURER 1.5 TSI 110 KW (150 CV) S/S FR,26300.0,Gasolina,Manual,10.0,2021,Barcelona
Seat, NUEVO LEON 1.5 ETSI 110 KW (150 CV) DSG S/S FR GO 'L',27670.0,Gasolina,Automático,10.0,2021,Barcelona
Citroen,C4 Cactus 1.2 PURETECH 82 FEEL 5P (**),8750.0,Gasolina,Manual,93570.0,2016,Barcelona
Nissan,Juke 1.5 DCI 81KW N-CONNECTA 5P *,14900.0,Diésel,Manual,21500.0,2019,Barcelona
Nissan,X-Trail EURO6D 1.7 DCI 150 CV 4X2 CVT N-CONNECTA 7 PLAZAS,27900.0,Diésel,Automático,10.0,2020,Barcelona
Citroen,C4 Cactus 1.2 PureTech S&S Feel 110 Feel,12900.0,Gasolina,Manual,28857.0,2018,Murcia
Peugeot, 1.2 PureTech S&S GT Line EAT6 110 GT Line,18900.0,Gasolina,Automático,21705.0,2019,Murcia
Opel,"Mokka X 1.6 CDTi 100kW (136CV) 4X2 S&,S Selective",14500.0,Diésel,Manual,49211.0,2018,Málaga
Hyundai,KONA 1.0 TGDI Klass 4X2,16500.0,Gasolina,Manual,8100.0,2019,Málaga
Opel, 1.2T XHL 74kW (100CV) Elegance,17900.0,Gasolina,Manual,8.0,2021,Málaga
MINI,One ONE automático,15900.0,Gasolina,Automático,31661.0,2017,Málaga
Ford,Fiesta 1.0 EcoBoost 74kW Vignale S/S Aut 5p,12900.0,Gasolina,Automático,30925.0,2017,Málaga
Fiat,"500X Urban 500X 120TH 1.6 E-Torq 81KW (110 CV) 4x2 S&,S",14500.0,Gasolina,Manual,10997.0,2019,Málaga
Subaru,Forester Forester 2.0i Hybrid CVT Sport Plus,30500.0,Gasolina,Automático,3505.0,2020,Málaga
Fiat,"500X Urban 500X 120TH 1.6 E-Torq 81KW (110 CV) 4x2 S&,S",14500.0,Gasolina,Manual,10107.0,2019,Málaga
Opel, 1.3 CDTi S/S Selective 70kW (95CV),10500.0,Diésel,Manual,49679.0,2018,Málaga
Land Rover,Range Rover 3.0 SDV6 202kW (275CV) VOGUE,102455.0,Diésel,Automático,5.0,2020,Málaga
Mazda,6 2.2 DE 150cv AT Style+,14900.0,Diésel,Automático,10383.0,2016,Málaga
DS,DS 4 DS4 1.6 BlueHDi S&S Desire 120 Desire,15900.0,Diésel,Manual,44152.0,2017,Murcia
Land Rover,Range Rover 3.0 SDV6 202kW (275CV) VOGUE,102455.0,Diésel,Automático,5.0,2020,Almería
Mazda,6 2.2 DE 150cv AT Style+,14900.0,Diésel,Automático,10383.0,2016,Almería
Fiat,"500X Urban 500X 120TH 1.6 E-Torq 81KW (110 CV) 4x2 S&,S",14500.0,Gasolina,Manual,10107.0,2019,Almería
Opel, 1.3 CDTi S/S Selective 70kW (95CV),10500.0,Diésel,Manual,49679.0,2018,Almería
Fiat,"500X Urban 500X 120TH 1.6 E-Torq 81KW (110 CV) 4x2 S&,S",14500.0,Gasolina,Manual,10997.0,2019,Almería
Ford,Fiesta 1.0 EcoBoost 74kW Vignale S/S Aut 5p,12900.0,Gasolina,Automático,30925.0,2017,Almería
Subaru,Forester Forester 2.0i Hybrid CVT Sport Plus,30500.0,Gasolina,Automático,3505.0,2020,Almería
Opel, 1.2T XHL 74kW (100CV) Elegance,17900.0,Gasolina,Manual,8.0,2021,Almería
MINI,One ONE automático,15900.0,Gasolina,Automático,31661.0,2017,Almería
Opel,"Mokka X 1.6 CDTi 100kW (136CV) 4X2 S&,S Selective",14500.0,Diésel,Manual,49211.0,2018,Almería
Hyundai,KONA 1.0 TGDI Klass 4X2,16500.0,Gasolina,Manual,8100.0,2019,Almería
Ford,"EcoSport 1.0L EcoBoost 92kW (125CV) S &, S ST Line",12990.0,Gasolina,Manual,82646.0,2018,Madrid
Ford, 2.0 TDCi 110kW 4x2 A-S-S ST-Line,20500.0,Diésel,Manual,34035.0,2017,Madrid
Opel, 1.2T XHL 74kW (100CV) Elegance,17900.0,Gasolina,Manual,8.0,2021,Málaga
MINI,One ONE automático,15900.0,Gasolina,Automático,31661.0,2017,Málaga
Hyundai,KONA 1.0 TGDI Klass 4X2,16500.0,Gasolina,Manual,8100.0,2019,Málaga
Opel,"Mokka X 1.6 CDTi 100kW (136CV) 4X2 S&,S Selective",14500.0,Diésel,Manual,49211.0,2018,Málaga
Fiat,"500X Urban 500X 120TH 1.6 E-Torq 81KW (110 CV) 4x2 S&,S",14500.0,Gasolina,Manual,10997.0,2019,Málaga
Ford,Fiesta 1.0 EcoBoost 74kW Vignale S/S Aut 5p,12900.0,Gasolina,Automático,30925.0,2017,Málaga
Subaru,Forester Forester 2.0i Hybrid CVT Sport Plus,30500.0,Gasolina,Automático,3505.0,2020,Málaga
Opel, 1.3 CDTi S/S Selective 70kW (95CV),10500.0,Diésel,Manual,49679.0,2018,Málaga
Fiat,"500X Urban 500X 120TH 1.6 E-Torq 81KW (110 CV) 4x2 S&,S",14500.0,Gasolina,Manual,10107.0,2019,Málaga
Land Rover,Range Rover 3.0 SDV6 202kW (275CV) VOGUE,102455.0,Diésel,Automático,5.0,2020,Málaga
Mazda,6 2.2 DE 150cv AT Style+,14900.0,Diésel,Automático,10383.0,2016,Málaga
Mazda,6 2.2 DE 150cv AT Style+,14900.0,Diésel,Automático,10383.0,2016,Málaga
Land Rover,Range Rover 3.0 SDV6 202kW (275CV) VOGUE,102455.0,Diésel,Automático,5.0,2020,Málaga
Opel, 1.3 CDTi S/S Selective 70kW (95CV),10500.0,Diésel,Manual,49679.0,2018,Málaga
Fiat,"500X Urban 500X 120TH 1.6 E-Torq 81KW (110 CV) 4x2 S&,S",14500.0,Gasolina,Manual,10107.0,2019,Málaga
Fiat,Panda 1.2 Lounge 69cv,7700.0,Gasolina,Manual,43866.0,2018,Málaga
Subaru,Forester Forester 2.0i Hybrid CVT Sport Plus,30500.0,Gasolina,Automático,3505.0,2020,Málaga
Ford,Fiesta 1.0 EcoBoost 74kW Vignale S/S Aut 5p,12900.0,Gasolina,Automático,30925.0,2017,Málaga
Fiat,"500X Urban 500X 120TH 1.6 E-Torq 81KW (110 CV) 4x2 S&,S",14500.0,Gasolina,Manual,10997.0,2019,Málaga
MINI,One ONE automático,15900.0,Gasolina,Automático,31661.0,2017,Málaga
Opel, 1.2T XHL 74kW (100CV) Elegance,17900.0,Gasolina,Manual,8.0,2021,Málaga
Hyundai,KONA 1.0 TGDI Klass 4X2,16500.0,Gasolina,Manual,8100.0,2019,Málaga
Ford,Mondeo 2.0 TDCI 180 VIGNALE 180 5P,19500.0,Diésel,Manual,29988.0,2016,Vizcaya
Opel,"Mokka X 1.6 CDTi 100kW (136CV) 4X2 S&,S Selective",14500.0,Diésel,Manual,49211.0,2018,Málaga
Renault,Captur 1.6 E-TECH 117KW ZEN PLUG IN 5P,28720.0,Eléctrico,Automático,10.0,2020,Madrid
Renault,Captur 1.6 E-TECH 117KW ZEN PLUG IN 5P,28720.0,Eléctrico,Automático,10.0,2020,Madrid
Citroen,C4 Cactus 1.5 BLUEHDI 100 S&S ORIGINS 5P,14990.0,Diésel,Manual,18793.0,2019,Madrid
Renault,ZOE INTENS 40 R90 5P,11690.0,Eléctrico,Automático,56073.0,2017,Madrid
Mazda,6 2.2 DE 150cv AT Style+,14900.0,Diésel,Automático,10383.0,2016,Granada
Land Rover,Range Rover 3.0 SDV6 202kW (275CV) VOGUE,102455.0,Diésel,Automático,5.0,2020,Granada
Fiat,"500X Urban 500X 120TH 1.6 E-Torq 81KW (110 CV) 4x2 S&,S",14500.0,Gasolina,Manual,10107.0,2019,Granada
Opel, 1.3 CDTi S/S Selective 70kW (95CV),10500.0,Diésel,Manual,49679.0,2018,Granada
Subaru,Forester Forester 2.0i Hybrid CVT Sport Plus,30500.0,Gasolina,Automático,3505.0,2020,Granada
Ford,Fiesta 1.0 EcoBoost 74kW Vignale S/S Aut 5p,12900.0,Gasolina,Automático,30925.0,2017,Granada
Renault,Captur 1.6 E-TECH 117KW ZEN PLUG IN 5P,28720.0,Eléctrico,Automático,10.0,2020,Madrid
Fiat,"500X Urban 500X 120TH 1.6 E-Torq 81KW (110 CV) 4x2 S&,S",14500.0,Gasolina,Manual,10997.0,2019,Granada
MINI,One ONE automático,15900.0,Gasolina,Automático,31661.0,2017,Granada
Opel, 1.2T XHL 74kW (100CV) Elegance,17900.0,Gasolina,Manual,8.0,2021,Granada
